source_type,base_authority,half_life_days,decay_class,note
decision_log,0.95,365,slow,"DACI decisions of record. High authority, long-lived until explicitly superseded or reversed."
approved_policy,0.93,365,slow,"Ratified policy documents (status=approved). Authoritative for their domain; drafts do not count."
general_ledger,0.95,120,medium,"Finance GL. System of record for recognized revenue/ARR; figures settle monthly."
hris,0.92,180,medium,"Human resources system of record for titles, department, employment status."
iam,0.9,90,medium,"Identity/access entitlements from the quarterly access review."
status_page,0.9,3,fast,"Operational truth (incidents, uptime). Authoritative in the moment but decays within hours-to-days; stale status is not current status."
product_docs,0.75,180,medium,"Current product specification. Authoritative for behavior when the section is current, not deprecated."
knowledge_base,0.65,120,medium,"Customer-facing KB. Useful and usually current, but a doc can lag the spec; older page_history revisions are superseded."
strategy_doc,0.35,120,medium,"Internal strategy write-ups. Informative on options, but they argue direction rather than set it."
proposal,0.3,90,medium,"RFCs and proposals for discussion. Low authority by design — a proposal is not a decision."
chat,0.25,7,fast,"Informal chat/email discussion. Low authority, short-lived; captures intent, not record."
email,0.25,14,fast,"Email correspondence. Low authority for facts; may carry unverified titles or figures."
external_analyst,0.15,90,medium,"Third-party analyst notes written from outside with imperfect information. Lowest authority; frequently wrong on internal facts."
news,0.12,180,medium,"Press/news mentions. Lowest authority; round outside estimates, not internal records."
