opportunity_id,account_id,product,stage,amount_usd,created_date,close_date,owner_email
OPP-2001,ACCT-1019,seat-expansion,proposal,54000,2026-03-07,2026-05-21,aisha.diallo@acme-analytics.example
OPP-2002,ACCT-1012,annual-renewal,proposal,24000,2026-04-20,2026-08-07,carlos.mendes@acme-analytics.example
OPP-2003,ACCT-1004,annual-renewal,proposal,24000,2026-04-27,2026-06-14,aisha.diallo@acme-analytics.example
OPP-2004,ACCT-1022,dashboards-addon,negotiation,8000,2026-04-16,2026-06-17,carlos.mendes@acme-analytics.example
OPP-2005,ACCT-1009,seat-expansion,closed_won,54000,2026-03-15,2026-06-25,carlos.mendes@acme-analytics.example
OPP-2006,ACCT-1009,metering-api,proposal,30000,2026-04-07,2026-07-13,carlos.mendes@acme-analytics.example
OPP-2007,ACCT-1012,metering-api,closed_lost,5000,2026-03-15,2026-05-30,carlos.mendes@acme-analytics.example
OPP-2008,ACCT-1008,seat-expansion,proposal,54000,2026-02-08,2026-05-15,carlos.mendes@acme-analytics.example
OPP-2009,ACCT-1001,metering-api,qualification,24000,2026-04-13,2026-06-12,aisha.diallo@acme-analytics.example
OPP-2010,ACCT-1007,annual-renewal,prospecting,12000,2026-03-24,2026-07-08,aisha.diallo@acme-analytics.example
OPP-2011,ACCT-1010,dashboards-addon,proposal,30000,2026-03-10,2026-06-05,aisha.diallo@acme-analytics.example
OPP-2012,ACCT-1019,premium-support,prospecting,8000,2026-02-06,2026-04-23,aisha.diallo@acme-analytics.example
OPP-2013,ACCT-1025,annual-renewal,negotiation,15000,2026-03-24,2026-05-17,carlos.mendes@acme-analytics.example
OPP-2014,ACCT-1010,premium-support,proposal,8000,2026-01-29,2026-04-30,aisha.diallo@acme-analytics.example
OPP-2015,ACCT-1008,seat-expansion,closed_won,15000,2026-04-06,2026-05-07,carlos.mendes@acme-analytics.example
OPP-2016,ACCT-1008,seat-expansion,closed_lost,8000,2026-01-31,2026-05-20,carlos.mendes@acme-analytics.example
OPP-2017,ACCT-1018,premium-support,prospecting,54000,2026-02-27,2026-04-18,aisha.diallo@acme-analytics.example
OPP-2018,ACCT-1012,seat-expansion,closed_lost,12000,2026-02-03,2026-03-22,carlos.mendes@acme-analytics.example
OPP-2019,ACCT-1020,premium-support,closed_lost,8000,2026-03-10,2026-05-25,aisha.diallo@acme-analytics.example
OPP-2020,ACCT-1019,premium-support,qualification,54000,2026-03-10,2026-05-04,aisha.diallo@acme-analytics.example
OPP-2021,ACCT-1006,annual-renewal,closed_won,12000,2026-03-09,2026-05-29,carlos.mendes@acme-analytics.example
OPP-2022,ACCT-1024,premium-support,closed_won,15000,2026-02-27,2026-06-09,aisha.diallo@acme-analytics.example
OPP-2023,ACCT-1010,annual-renewal,proposal,24000,2026-02-01,2026-04-28,aisha.diallo@acme-analytics.example
OPP-2024,ACCT-1002,dashboards-addon,qualification,30000,2026-04-07,2026-07-11,carlos.mendes@acme-analytics.example
OPP-2025,ACCT-1019,metering-api,negotiation,12000,2026-04-16,2026-05-07,aisha.diallo@acme-analytics.example
OPP-2026,ACCT-1008,dashboards-addon,qualification,30000,2026-05-30,2026-07-23,carlos.mendes@acme-analytics.example
OPP-2027,ACCT-1012,premium-support,negotiation,54000,2026-04-12,2026-05-26,carlos.mendes@acme-analytics.example
OPP-2028,ACCT-1005,premium-support,closed_lost,54000,2026-02-06,2026-05-19,carlos.mendes@acme-analytics.example
OPP-2029,ACCT-1024,metering-api,closed_won,54000,2026-01-18,2026-03-28,aisha.diallo@acme-analytics.example
OPP-2030,ACCT-1016,annual-renewal,closed_lost,54000,2026-03-04,2026-07-01,aisha.diallo@acme-analytics.example
OPP-2031,ACCT-1007,dashboards-addon,prospecting,30000,2026-03-28,2026-05-21,aisha.diallo@acme-analytics.example
OPP-2032,ACCT-1001,dashboards-addon,prospecting,24000,2026-03-25,2026-05-20,aisha.diallo@acme-analytics.example
OPP-2033,ACCT-1001,dashboards-addon,proposal,24000,2026-05-18,2026-08-31,aisha.diallo@acme-analytics.example
OPP-2034,ACCT-1019,seat-expansion,prospecting,30000,2026-03-29,2026-05-30,aisha.diallo@acme-analytics.example
OPP-2035,ACCT-1024,dashboards-addon,negotiation,30000,2026-05-05,2026-06-13,aisha.diallo@acme-analytics.example
OPP-2036,ACCT-1024,metering-api,closed_won,5000,2026-01-24,2026-03-17,aisha.diallo@acme-analytics.example
OPP-2037,ACCT-1025,annual-renewal,prospecting,5000,2026-04-14,2026-06-05,carlos.mendes@acme-analytics.example
OPP-2038,ACCT-1025,dashboards-addon,qualification,24000,2026-05-23,2026-07-03,carlos.mendes@acme-analytics.example
OPP-2039,ACCT-1014,premium-support,qualification,15000,2026-03-04,2026-04-28,aisha.diallo@acme-analytics.example
OPP-2040,ACCT-1002,metering-api,qualification,12000,2026-04-17,2026-05-26,carlos.mendes@acme-analytics.example
